title,author,publisher,year_published,ISBN,category,description,image
Sains untuk Pemula 2,Suhendiana Noor,PT Setia Purna Inves,2007,9791192146,Sains,Buku ini merupakan buku kumpulan percobaan sains yang dirancang untuk membantumu dalam memahami dan mengenal lebih dekat dengan ilmu sains. Buku ini dilengkapi dengan foto - foto dan ilustrasi yang menarik sehingga memudahkanmu untuk melakukan percobaan.,
Sains untuk Pemula 10,Suhendiana Noor,PT Setia Purna Inves,2007,9791192227,Sains,Buku ini merupakan buku kumpulan percobaan sains yang dirancang untuk membantumu dalam memahami dan mengenal lebih dekat dengan ilmu sains. Buku ini dilengkapi dengan foto - foto dan ilustrasi yang menarik sehingga memudahkanmu untuk melakukan percobaan.,
Sains untuk Pemula 1,Suhendiana Noor,PT Setia Purna Inves,2007,9791192138,Sastra,Buku ini merupakan buku kumpulan percobaan sains yang dirancang untuk membantumu dalam memahami dan mengenal lebih dekat dengan ilmu sains. Buku ini dilengkapi dengan foto - foto dan ilustrasi yang menarik sehingga memudahkanmu untuk melakukan percobaan.,
Sains di Sekitar Kita,Rudi Darmawan,CV Citraunggul Laksana,2005,979244100x,Sains,Buku ini membahas tentang sains yang ada di sekitar kita,
Sains Dari Masa Ke Masa,Janice Vancleave,Pakar Raya,2004,0471330973,Sains,"Melalui buku ini kita akan mengetahui cara menggunakan peralatan zaman batu untuk membuat benda seni, membuat teleskop sederhana, melihat pembuluh darah. membuat stetoskop, termometer gas gelileo dan lain sebagainya.",
Sains dalam Sulap,Jim Wiese,Pakar Raya,2004,9780471182399,Sains,"Temukan kekuatan sains dalam sulap dengan kegiatan - kegiatan yang menyenangkan dan mudah ditampilkan dari kimia sampai biologi, gravitasi sampai kelistrikan.  Kamu tidak membutuhkan bahan - bahan khusus untuk menjadi pesulap sains, hanya beberapa barang sehari - hari yang bisa ditemukan di sekitar rumah.",
Sahabat Laut,Aep Saefulloh,Ganeca Exact,2008,9789795718222,Sastra,"Novel ini berkisah tentang seorang anak yang berasal dari keluarga miskin, namun ia memiliki semangat belajar yang tinggi. Orang tuanya sebagai nelayan kecil telah membuat ia sering melaut. Ini sama sekali tidak membuat ia mengeluh. Malah justru membuat ia bersemangat tanpa surut, seperti ombak lautan. Ia juga selalu bersahabat baik dengan teman - temannya. Hingga pada suatu hari, ia berusaha menyelamatkan sahabatnya yang tenggelam di tengah laut.",
Sahabat dari Asmat,Dewi Safriani,Azka Press,2006,9797444430,Cerita Rakyat,"Azhur adalah perwakilan dari papua karena ia telah menunjukkan prestasi yang baik di sekolahnya, inilah yang membanggakan keluarga dan daerahnya. Ayah Azhur adalah pemahat yang mereka sebut Wow - ipits, yang mengikuti demonstrasi dalam pameran tersebut. Persahabatan Giri, Andri, Azhur terjadi dalam waktu singkat. Namun, pertemuan itu membawa pengalaman yang mendalam bagi anak - anak itu. Nah, pengalaman  -  pengalaman apa saja yang dialami Giri, Andri dan Azhur?",
Sabuk Kiai,Dandang A Dahlan,Eranovfis,2010,979341412x,Sastra,"Mitos tentang kesaktian sabuk kiai, azimat, hizib - hizib, bahkan ilmu laduni merupakan pengalaman baru yang sama sekali tak terlintas di benaknya. Ranu bahkan digosipkan mendapatkan ilmu laduni dan bakal mewarisi sabuk kiai yang selama ini menjadi incaran para santri di pesantren itu. Benarkah gosip itu? Ranu harus berusaha keras untuk meluruskan kabar burung yang terlanjur beredar, meski nyawa taruhannya. Sanggupkah Ranu menghadapi santri - santri senior yang sangat menguasai ilmu dalam tingkat tinggi? Berhasilkah ia membuktikan tekadnya?",
Sabar dan Ikhtiar  dalam Kehidupan,Sonny S,Indah Jaya Adipratama,2010,9789792416329,Sastra,"Arya bekerja sebagai penyadap getah di hutan perhutani, Arya bertemu dengan pak Sukatma pekerja penyadap berusia 65 tahun. PAk Sukatma bekerja menjadi penyadap  getah setelah sawahnya mengalami bencana. Pak Sukatma dapat dijadikan contoh perjuangan hidup seorang yang mencintai kehidupan dengan segala kesabaran, tawakal, dan tetap ikhtiar untuk mengubah keadaannya.",
Sabai Nan Aluih,Tulis Sutan Sati,Balai Pustaka,2003,9794072702,Sastra,Sastra ini merupakan cerita klasik Minangkabau yang amat terkenal yang berisi mengenai adat lama yang menentukan wanita harus menerima jodoh pilihan orang tuanya.,
Saat Liburan yang Kunanti,Maya Rohmayati,Sarana Panca Karya Nusa,2009,9789796783502,Sosial,BUku ini berisi cerita anak - anak.,
"Rumput Laut, Rumput Harapan",Edi Warsidi,Mitra Utama,2009,9789791760911,Tanaman,"Buku ini membahas berbagai hal yang berhubungan dengan rumput laut, baik dari segi keilmuan, usaha maupun kuliner, secara keilmuan, rumput laut menarik untuk diketahui, secara usaha  memiliki masa depan yang baik, dan bahan baku produk makanan, rumput laut banyak diolah sehingga menjadi makanan yang menyehatkan. Olahan rumput laut dimanfaatkan untuk kebutuhan industri makanan, farmasi, kosmetik dan lain - lain.",
Rumahku Surgaku,Achmad Mubarok; Ahmad Jubaeli,Imperial Bhakti Utama,2008,9786028147200,Agama,Untuk menggapai rumahku surgaku sebagai penghuni sebuah rumah harus dapat memelihara kenyamanan dan ketentraman dalam rumah tersebut. Untuk menjaga kenyamanan dan ketentraman di dalam rumah maka setiap anggota keluarga tentunya berkewajiban untuk menaati peraturan yang berlaku di rumah tersebut.,
Rumah Sehat,TIM Penulis Sanggar Mandiri,CV Karsa Mandiri,2007,9790050275,Sastra,"Rumah yang kita diami saat ini pasti terlihat indah dan bersih. Namun apakah rumah tersebut juga sudah sehat? Ternyata memiliki rumah yang indah dan bersih belumlah cukup. Rumah sehat dapat kita miliki dengan cara membersihkannya setiap hari dan berbagai macam penyakit, serangga, dan kotoran. Rumah sehat merupakan cerminan penghuninya.",
Rumah Idaman yang Tidak Dimasuki setan,Muhammad Ash-Shayim,Pustaka Al kautsar,1991,9795920030,Agama,"Rumah yang selalu mendapat penjagaan Allah adalah rumah yang terdapat kecintaan dan rahmat, rumah yang suci, dan lapang, rumah yang penuh dzikir dan bacaan Al - Qur'an, sehingga setan tidak punya kesempatan berkeliaran di dalamnya. untuk membutakan penghuninya dari petunjuk Allah.",
Rumah Bambu,Y.B. Mangunwijaya,KPG,2006,9799023394,Sastra,"Rumah bambu adalah kumpulan cerpen Romo Mangun yang pertama dan terakhir kali diterbitkan. Sebagian besar cerpen - cerpen itu ditemukan di rumah penulis, di Kuwera, Yogyakarta, dalam keadaan penuh koreksi dan sulit dibaca. Dari dua puluh cerpen yang ada dalam buku ini, hanya 3 yang pernah dipublikasikan. Hampir semua tema cerita dalam buku ini adalah peristiwa - peristiwa yang kelihatan sederhana, sepele dan mungkin remeh. Memang, Dia adalah sosok yang dikenal sederhana, lembut, mudah terharu dengan penderitaan orang lain, tetapi kalau perlu, bisa juga keras. Buku ini menantang kita untuk merasakan kehidupan manusia yang mungkin tidak pernah kita bayangkan.",
Rules of # Love,Esty Dyah Imaniar,Metagraf,2018,9786026328663,Psikologi,"Cinta nggak sekedar kata - kata manis ala - ala film romantis. Cinta itu tindakan, sebuah ungkapan tulus dari hati dan jiwa. Cinta bukan hanya keinginan untuk terus menerus meminta. Cinta adalah kesediaan, kerelaan untuk memberikan yang terbaik bagi diri sendiri, orang lain, alam semesta dan Sang Pencipta.",
Rukun dengan Lingkungan Sekitar,Syifa Nurul Fadilah,PT Sarana Panca Karya Nusa,2009,9789796783427,Sosial,Buku ini memaparkan hidup rukun yang menyenangkan dan hidup rukun mencerminkan pribadi bangsa Indonesia.,
Rubaiyat Rumi,Nevit O Ergin,PT Elex Media KOmputindo,2007,9789792763942,Sastra,Buku ini bercerita tentang sebuah kisah dalam bentuk puisi tentang kehidupan yang dinikmati sepenuhnya.,
Rubah dan Anggur serta Cerita Lainnya,Didik Djunaedi,Gading Inti Prima,2008,9789793846484,Fabel,Kumpulan cerita ini menceritakan kembali fabel aesop yang sudah sangat terkenal. ceritanya menarik diikuti anak - anak dan mengandung ajaran budi pekerti.,
Ronggeng Dukuh Paruk,Ahmad Tohari,Gramedia,2007,9789792201963,Sastra,"Ronggeng Dukuh Paruk yang merupakan novel pertama dari trilogi tersebut membuka ceritanya dengan mendeskripsikan suatu keadaan sebuah perkampungan di daerah Jawa. Kampung tersebut memiliki suatu kebiasaan yang menjadi ciri khasnya, yaitu ronggeng. Cerita dimulai ketika Dukuh Paruk dengan segala kecabulan dan keterbelakangannya sudah selama hampir belasan tahun kehilangan seorang ronggeng. Ronggeng adalah suatu kebanggaan di Dukuh Paruk. Perempuan yang meronggeng tidak akan dianggap sebagai perempuan jalang. Justru mereka akan sangat bangga apabila ada salah satu dari keluarga mereka menjadi seorang ronggeng. Maka selama hampir belasan tahun tanpa ronggeng, Dukuh Paruk serasa mati. Dukuh Paruk tidak pernah menyalahkan keberadaan ronggeng karena leluhur mereka, Ki Secamenggala tidak pernah juga menyalahkannya. Ki Secamenggala dianggap sebagai orang yang pertama kali menduduki Dukuh Paruk. Menurut kepercayaan warga Dukuh Paruk, Ki Secamenggala adalah orang yang terasingkan dari lingkungan masyarakat sekitar karena kecabulannya, entah itu dalam berkata atau dalam berpikir. Namun, tidak seorang pun dari warga Dukuh Paruk yang menyalahkan sikap Ki Secamenggala tersebut. Mereka justru sangat menghormati keberadaan Ki Secamenggala. Itulah yang menjadi alasan mengapa hingga bertahun - tahun lamanya Dukuh Paruk tetap berada dalam kecabulannya. Mereka senantiasa merindukan tarian ronggeng dan irama musik yang acapkali mereka dengar dulu, sebelum ronggeng dukuh paruk kehilangan keberadaannya. Sekitar sebelas tahun lalu, Dukuh Paruk digemparkan dengan racun tempe bongkrek yang dibuat oleh sepasang suami istri, Santayib dan istrinya. Tempe bongkrek yang sering dibuatnya untuk kali itu menyebabkan kematian pada banyak penduduk yang memakannya termasuk Santayib dan istrinya. Hanya beberapa yang masih bertahan hidup sementara sisanya tidak tertolong lagi. Siapa yang tahu, bahwa kemudian anak dari pembuat tempe bongkrek yang menggemparkan warga sekampung itu adalah calon ronggeng. Ia lah Srintil, gadis kecil berusia sebelas tahun. Dengan kepercayaan bahwa Srintil telah dirasuki indang ronggeng, Srintil menjadi ronggeng dalam usianya yang baru sebelas tahun. Tidak ada yang dianggap sebagai pertentangan dengan norma apapun ketika seorang anak yang sepantasnya bersekolah, bermain, dan dilindungi orang tua berlenggak - lenggok menari erotis dengan tatapan menggoda sebagai seorang ronggeng. Mungkin hanya Rasus yang merasa tidak rela ketika Srintil disahkan menjadi ronggeng dan dimiliki oleh semua warga Dukuh Paruk. Rasus merasa ada yang diambil dari dirinya ketika Srintil dimiliki semua orang. Terlebih ketika Srintil harus menjalani malam buka kelambu, suatu persyaratan yang harus dipenuhi Srintil sebelum akhirnya dinyatakan sebagai seorang ronggeng dukuh paruk. Rasus kehilangan sosok yang dihormati pada diri Srintil. Rasus memutuskan pergi dan menjadi seorang tentara. Pada saat ia kembali ke Dukuh Paruk setelah berusia dua puluh tahun, Rasus mencoba melihat kewajaran pada pemahaman yang dimiliki Dukuh Paruk terhadap ronggeng, termasuk kewajaran pada kebanggaan Srintil sebagai seorang ronggeng. Rasus memutuskan pergi kembali untuk bergabung bersama tentara lainnya dengan pemahaman yang dibawanya bahwa Dukuh Paruk dengan segala keasliannya tidak akan pernah bisa diubah sampai kapan pun. Maka Dukuh Paruk akan tetap dengan ronggeng dan kecabulannya.",
Romeo Juliet,William Shakespeare,Navila,2006,979950323x,Sastra,"Kisah cinta abadi dan melegenda, bertahan dari generasi ke generasi, Kedua insani ini menjadi bukti kekuatan cinta, yang tak memandang kasta atau harta, pun tak peduli pada harga diri. Cinta selalu punya dua sisi ia bagai jembatan mimpi atau bagai anggur yang memabukkan  jiwa. Namun dalam cinta terselip belati, bisa membunuh juga dapat melukai. Cinta mendorong Romeo menjadi pemberani, tak takut mati. Cinta juga menuntun Romeo untuk berhati lembut, tak suka membalas dendam. Cinta Romeo pada Juliet, menjadi peredam amuk, membuhul tali persaudaraan, meski akhirnya mereka harus menjadi korban.",
Romansa,Hamdani M W,Labuh,2005,9799928834,Sastra,"Sebagian cerpen di buku ini boleh dikata gerundelan pribadi yang dituangkan dalam tulisan, sebab benturan - benturan itu ternyata menyesakkan. Memang tidak semua cerpen ini pengalaman pribadi, ada beberapa yang murni karangan dengan ide yang muncul dari membaca atau melihat kejadian sehari - hari.",
Riwayat Hidup Rasulullah,Abul Hasan Ali An-Nadwi,PT Bina Ilmu,,9786024222976,Agama,Buku ini berisi sejarah hidup nabi Muhammad SAW dari sebelum lahir sampai wafat.,
Riset Tindakan Untuk Pendidik,Paul Suparno,Grasindo,2007,9789790250314,Pendidikan,"Buku ini menjelaskan tentang riset tindakan dalam dunia pendidikan yang menyangkut hakikat dan sejarah singkat perkembangan riset tindakan, jenis, sifat dan kegunaan riset tindakan, serta langkah - langkah melakukan riset tindakan dalam bidang pendidikan.",
Rezekimu Tidak Akan Tertukar,Ramdhani Abdurrahim,Gramedia,2018,9786020484006,Agama,"Rezeki adalah bagian yang tidak terpisahkan dari siklus penciptaan, siklus kematian hingga kehidupan kembali (kebangkitan) sebagaimana disebutkan dalam surah Ar rum ayat 40. Maka, urusan rezeki juga merupakan  bagian dari akidah sehingga keyakinan bahwa hanya Allah pencipta segala sesuatu dan pemberi rezeki seluruh makhluk harus tertanam dalam akidah setiap mukmin.Tujuan mencari rezeki menjadi benar yaitu menjadikan rejeki sebagai sarana ibadah kepada Allah dan jalan meraih ridha - Nya, serta agar  kita selalu memiliki dua mutiara berharga seorang mukmin, yaitu Syukur dan sabar. Selalu bersyukur jika dilapangkan rezeki, dan senantiasa bersabar saat disempitkan rezeki.",
Revitaisasi Gugus Sekolah,Asep Rachmat,PT Sarana Panca Karya Nusa,2009,9789796783663,Pendidikan,"Buku ini berisi landasan filosofis, psikologis maupun idealisme disertai pembahasan sederhana terhadap apa, mengapa, dan bagaimana mengembangkan gugus sekolah secara realistis.",
Resep Masakan Paling Istimewa Khas Indonesia,Afin Murtie,Cable Book,2014,9786020983066,Makanan,"Buku ini berisi tentang berbagai macam masakan dari seluruh provinsi di Indonesia. Dilengkapi dengan pengenalan BAhan, alat, dan info gizi pada masing - masing resep makanan.",
Resensi Buku,Edi Warsidi,Mitra Utama,2008,9789791760911,Bahasa,"Buku ini akan menjelaskan tentang apa dan bagaimana menulis resensi buku itu? keterampilan meresensi buku sudah masuk dalam kurikulum, keterampilan ini juga dapat meningkatkan daya kritis dan apresiasi terhadap produk budaya baca.",
Reparasi Motor Bensin dan Diesel,Soedjono,Titian Ilmu,2008,9789790272340,Otomotif,Buku ini memaparkan tentang otomotif yang secara detail diuraikan  disertai ilustrasi untuk mempermudah dalam mempraktekkan.,
Reog Ponorogo,Yuliadi Soekardi,Pustaka Setia,2005,9797305724,Cerita Rakyat,"Buku ini menceritakan  tentang pernikahan kelana suwandana dengan putri sanggalangit, serta lahirnya reog ponorogo. Disampaikan dengan bahasa yang sederhana, ringkas, mudah dipahami, namun sarat makna.",
Renungan Budaya,Fuad Hasan,Blai Pustaka,1989,9794071404,Sosial,"Buku ini adalah hasil dari renungan budaya, dalam arti bahwa batasan - batasan pikirannya tidak terikat pada sistem yang terlalu ketat, tetapi bagaimanapun juga berlandas pada suatu pandangan hidup yang bernilai positif.",
Remaja Unggul Kamukah Itu?,Imam Ratrioso,Nobel Edumedia,2008,9786028123822,Psikologi,"Kekerasan dan pornografi kian marak terjadi di kalangan remaja. Berbagai permasalahan sosial yang ditimbulkan kaum remaja terjadi karena banyak faktor. Lingkungan sosial, pola asuh di lingkungan keluarga, pola pendidikan dan metode pengajaran di sekolah, pengaruh media massa cetak dan elektronik, dan masa  cetak dan elektronik, dan masa pencarian identitas diri adalah variabel - variabel yang saling berkaitan. Jika semua hal itu tidak terkelola dengan baik, tentunya akan menciptakan masalah yang komplek dalam hidup seorang remaja.",
Remaja Puber Remaja Super,Erawati Heru Wardhani; Ana Bilana,Tinta Medina,2011,9786029211061,Pendidikan,"Buku ini mengajak remaja untuk menyelami hakikat masa yang sedang mereka hadapi dan jalani,  berikut memberikan pengetahuan tentang bagaimana seharusnya bersikap sebagai remaja, khususnya remaja muslimah, bagaimana  merawat tubuh, menjaga penampilan, dan bergaul baik dengan teman sesama  jenis maupun lawan jenis sesuai dengan aturan islam.",
Remaja itu Berani Mencoba,Ririn Astutiningrum,Tinta Media,2020,9786237394204,Agama,Buku ini berisi tentang  contoh yang diberikan oleh Nabi Muhammad untuk menjadi seorang yang penuh kreativitas dan produktivitas,
"Remaja Indonesia, Jauhi Rokok! : Hidup sehat, masa depan bersahabat","Faisol Anam, Tri Sakhatmo, Hartanto",Metagraf,2019,9786237013815,Kesehatan,"Dibalik kenikmatan sesaat, berbagai bahaya rokok siap menggerogoti kesehatan setiap organ tubuh, menyebabkan banyak penyakit dan mengurangi kesehatan perokok aktif secara umum. BAhaya mengincar orang - orang sekitarnya, yang terpapar asap rokok.",
Remaja Indonesia Bisa!,Tauhid Nur Azhar,Metagraf,2012,9786029212327,Sejarah,"Buku ini berisi catatan perjalanan tim Gatot kaca Chandradimuka dan MACARA pada kompetisi Imagine Cup 2011 new york Amerika Serikat. Dengan segala kebanggan prestasi, para generasi digital yang cemerlang ini melanglang jauh ke pusat peradaban dunia. New York, dengan mengusung misi suci peduli pada nasib bangsa melalui program pendeteksi dini dan pemantau kesehatan hasil olah pikir mereka. Sebuah langkah konstruktif bagi kemajuan bangsa di era Multimedia. Sebuah bukti bahwa Indonesia menyimpan generasi masa depan yang brilian, yang memiliki komitmen tinggi membawa Indonesia ke dalam ranah kesejahteraan yang layak.",
Remaja Fi Sabilillah,Nidhom Khoeron,Tinta Medina,2017,9786020894836,Psikologi,"Dunia REmaja diibaratkan dengan permainan roller coaster, sekali melesat, ia akan berjalan tanpa bisa berhenti atau bahkan kembali kebatas pertama. Buku ini menggambarkan dunia remaja seutuhnya dari sudut pergaulan, karakter pembawaan, percintaan hingga bakti kepada orang tuanya, dan akan ditutup dengan pemberian wejangan keramat untuk menjadi remaja kece Fi Sabilillah yang diharapkan semua orang",
Rela Menerima Keputusan Allah,Syarif Hade Masyah,Erlangga,2009,9789790338616,Agama,"Semua yang ditakdirkan Allah pasti kan terlaksana. Rela atau tida, takdir Allah tetap berlaku, Rela terhadap semua yang ditetapkan Allah merupakan salah satu dari sekian banyak buah cinta. Rela atau Ridha merupakan posisi tertinggi bagi orang - orang yang didekatkan dengan Allah SWT. Baiknya kita meyakini bahwa Allah berlaku adil dalam menentukan setiap takdir - Nya. Keyakinan ini hanya bisa didapatkan jika kita berprasangka baik terhadap - Nya. Jika kita berprasangka baik pada Allah, maka baik pula takdir yang akan kita dapatkan. Hal ini sesuai dengan Firman - Nya dalam hadits Qudsi"" Aku ini tergantung pada prasangka hamba - Ku kepada - Ku""",
Rekayasa dan Teknologi,Muhammad Ramdhan Adi,Sarana Panca Karya Nusa,2009,9789796783854,Teknologi,"Buku ini terdapat pengayaan tentang ilmuan kita, yang membahas mengenai tokoh ilmuwan yang patut untuk diteladani dan info teknologi, berisi kolom pengetahuan mengenai penjabaran materi yang kurang jelas.",
Referensi Matematika dalam Kehidupan Manusia 4,Wahyudin; Sudrajat,IPA Abong,2008,9789793077314,Matematika,Buku ini merupakan referensi matematika  agar dapat mengenali matematika lebih dekat sehingga mengetahui bahwa matematika itu menyenangkan dan matematika itu sebenarnya tidaklah sesulit yang diperkirakan.,
Referensi MAtematika dalam Kehidupan Manusia 3,Wahyudin; Sudrajat,IPA Abong,2008,9789793077307,Matematika,Buku ini merupakan referensi matematika  agar dapat mengenali matematika lebih dekat sehingga mengetahui bahwa matematika itu menyenangkan dan matematika itu sebenarnya tidaklah sesulit yang diperkirakan.,
Referensi Matematika Dalam Kehidupan Manusia 2,Wahyudin; Sudrajat,IPA Abong,2008,9789793077291,Manajemen,Buku ini sebagai materi atau bahan pengayaan dalam mata pelajaran matematika.,
Referensi Matematika dalam Kehidupan Manusia 1,Wahyudin; Sudrajat,IPA Abong,2008,97897930077284,Matematika,Buku ini merupakan referensi matematika  agar dapat mengenali matematika lebih dekat sehingga mengetahui bahwa matematika itu menyenangkan dan matematika itu sebenarnya tidaklah sesulit yang diperkirakan.,
Referensi Komplit A - Z Bakery: Fungsi bahan..,M Husin Syarbini,Metagraf,2016,9786027321571,Masakan,Berbagai resep masakan aneka bakery tersaji dalam buku ini.,
Rango: Sheriff Baru,Annie Auerbach,Tiga Ananda,2011,9786029111682,Fabel,"Tidak mudah menjalani kehidupan yang keras di Drt. Warga membutuhkan pahlawan yang dapat dipercaya. Inilah Rango makhluk asing di kota yang asing, yang menjalani hidup sesuai rencana. Warga kota bersedia mengambil risiko dengan mengandalkan  Rango. Tahukah kalian, di akhirnya berhasil menjadi Sheriff? Akan tetapi, keesokan pagi Rango mendengar kabar buruk. Berhasilkah Sheriff baru kita mengatasi masalah hingga sang surya tenggelam?",
Rango: Pahlawan Terakhir,Annie Auerbach,Tiga Ananda,2011,9786029111705,Fiksi,"Apakah Rango pahlawan? Semua menganggapnya begitu. Hingga kemudian, seekor elang besar dan menakutkan muncul di kota, Rango harus membuktikan betapa hebat dirinya.",
Rango : The Movie Storybook,Justine ; Ron Fontes,Tiga Ananda,2011,9786029111699,Fiksi,"Orang asing tak bertahan lama di Dirt, Begitu pula air, yang terlalu berharga untuk diminum. Ketika seseorang merampok persediaan air di kota, hal itu menjadi misteri yang sangat besar. Beruntung, Dirt punya Sherrif baru : seekor bunglon yang pandai berbicara bernama Rango. Berhasilkah Rango mengerahkan segala daya dan upaya untuk menangkap para penjahat?",
"Rangkuman Materi Bahasa Indonesia SMP/MTs Kelas VII,VIII,IX",Wulandari Setyaningrum,Javalitera,2011,9786029817652,Bahasa,Buku ini menyajikan ringkasan materi bahasa Indonesia tingkat SMP disertai dengan contoh soal dan pembahasannya.,
Ramayana,Sunardi D.M,Balai Pustaka,2000,9794073640,Cerita Rakyat,"Buku ini mengisahkan peristiwa - peristiwa kepahlawanan dan pengabdian kepada negara, bangsa dan kebenaran.",
Ramadan dan Pencerahan Spiritual,Muhammad Iqbal,Erlangga,2007,65013681,Agama,"Bulan ramadhan selalu menjadi bulan yang paling ditunggu - tunggu. Pada bulan ini umat islam seakan mendapat semangat baru untuk beribadah secara lebih intensif dan berlomba - lomba mendapatkan segala kemurahan, pahala yang berlipat ganda dan pengampunan dari Allah. Namun ada satu kekhawatiran Rasulullah yaitu umatnya hanya akan terjebak pada rutinitas ibadah tahunan dan lupa untuk melihat nilai - nilai religius serta pesan - pesan moral yang ingin disampaikan dari ibadah yang sedang dijalani. Sehingga, ketika Ramadhan berlalu, sedikitpun tidak ada berbekas kebaikan yang pernah dikerjakan selama sebulan penuh. Akibatnya, ibadah yang dilakukan menjadi sia - sia belaka.",
Raihlah Bintang Bintang,Sakti Wibowo,Nobel Edumedia,2008,9786028219730,Sastra,"Novel ini mengisahkan tentang seorang siswi kelas 2 sebuah SMA Negeri di Wonogiri bernama Danisa Mustikawuri, yang berjuang melawan penyakit leukimianya. Dia termasuk siswi yang dinamis, periang, dan cerdas. Kenyataan bahwa ia menderita leukimia ini membuat sikapnya terhadap keluarga maupun teman - temannya di sekolah berubah drastis, termasuk terhadap sahabatnya Viona. Dia menjadi sangat sensitif, mudah tersinggung, suka menyendiri, dan murung.
Aldy adalah siswa baru di kelasnya, yang tanpa disadari mampu menyulut semangat Danis untuk semakin ceria dari hari ke hari.  Suatu hari, hal buruk yang tak pernah terduga sebelumnya menimpa aldy.",
Rahasia Sukses Budidaya Tanaman dengan Metode Hidroponik,Teguh Susanto,Bibit Publisher,2015,9786026805188,Tanaman,Buku ini merupakan panduan praktis bagi pemula yang ingin membudidayakan tanaman menggunakan teknik  hidroponik,
Rahasia Sehari - hari,Hans Jurgen Press,Angkasa,2008,9789796655551,Teknologi,"Buku ini akan memberikan pengetahuan baru yang tidak terpikirkan sebelumnya. Dalam buku ini, ditunjukkan bagaimana kita dapat menyelidiki dan memahami rahasia berbagai benda, kejadian, dan kenyataan yang ditemui dalam kehidupan sehari - hari. Dengan contoh yang nyata yang disajikan berupa uraian singkat dan gambar yang jelas, buku ini  menyajikan ilmu pengetahuan dalam bentuk padat, sehingga mudah dipahami anak.",
Rahasia Jaring Laba - laba serta Cerita Lainnya,Didik Djunaedi,Gading Inti Prima,2009,9786028608329,Fabel,Banyak sekali pengetahuan tentang makhluk hidup seperti binatang yang menarik di sekitar kita. Buku ini mengemas pengetahuan tersebut dalam bentuk cerita sehingga anak - anak akan tertarik mempelajari lebih lanjut.,
Rahasia Ilmu Ikhlas,Yusuf Abdussalam,Media Insani,2009,9786028002066,Agama,"Orang yang ikhlas akan merasakan nikmatnya hidup, amalan mereka sangat bernilai, dosa mereka diampuni dan Allah mencintai mereka. Para mukhlasin kebal terhadap godaan setan. setan sendiri mengakui bahwa dirinya tidak sanggup menggoda orang - orang yang ikhlas.  betapa mulia kedudukan para mukhlasin.",
Rahasia Ibu,Eko Hartono,Euthenia,2014,9786021310175,Sastra,"Kelembutannya tetap terasa selamanya tanpa harus ia bicara meminta dianggap ada. Tak ada satu katapun yang ia anggap rahasia, atau tersembunyi dari kasat mata nak - anaknya. Kalaupun ada sebuah rahasia, itu bukan ketidakjujuran sebenarnya. Karena ia selalu tak ingin laranya tampak dan tangisnya pecah terdengar. Sesungguhnya ia penjaga hati anak - anaknya dengan kesucian cinta dan kemuliaan hati yang dibawanya hingga penghujung usia. Ibu adalah malaikat yang tak pernah punya sayap, mahkota atau gaun yang berenda emas.",
Rahasia di Balik Bilangan,Janu Ismadi,Nobel Edumedia,2008,9786028123013,Manajemen,"Matematika merupakan pelajaran yang mengasyikkan. MAtematika banyak memberikan manfaat bagi manusia, Banyak permasalahan dalam kehidupan sehari - hari yang dapat diselesaikan dengan matematika, Dimana ada matematika, di situ pasti ada bilangan. Dalam buku ini kalian akan belajar matematika, khususnya bilangan. Setiap bilangan memiliki arti tersendiri. Dengan membaca buku ini, kalian akan mengetahui sejarah bilangan dan rahasia dari beberapa bilangan hingga daya magicnya,",
Ragkaian Elektronik Praktis Rumah & Kendaraan,Andy Pratomo,Puspa Swara,2004,9793235500,Teknologi,"Buku ini mengupas tuntas berbagai pengerjaan proyek elektronik aplikatif dan memberi penjelasan rinci yang mudah dipahami oleh semua kalangan, selain dilengkapi dengan deskripsi rangkaian, setiap proyek juga didukung oleh skema yang rapi dan mudah dipahami.",
Ragam Suku Budaya Di Indonesia,Devi Andriana,Sarana Panca Karya Nusa,2009,9789796783748,Sosial,Buku ini berisi tentang suku - suku  yang ada di Indonesia serta tradisinya.,
Ragam Keripik Singkong Bergizi,Age Widro,Panca Anugerah Sakti,2010,9789791420587,Teknologi makanan,"Selama ini pemanfaatan singkong sebatas dijual mentahnya dalam bentuk kering(gaplek), di masak jadi makanan, diolah jadi tape, dan keripik yang bernilai relatif rendah. Padahal masih banyak nilai lebih yang dapat diraih, semisal menambah variasi gizi dan rasa. Buku ini menyajikan tuntunan cara membuat keripik singkong agar memiliki nilai tambah yang menguntungkan.",
"Raeni: mengayuh asa, menggapai mimpi",Raeni,Metagraf,2015,9786027211032,Inspirasi,Sosok Raeni menjadi contoh bahwa kesederhanaan bukanlah penghalang dalam meraih prestasi gemilang. Inilah kisah dalam mengatasi segala rintangan dan hambatan dalam menggapai impian. Inilah kisah bagaimana orang biasa mampu memberikan dampak yang luar biasa dalam kehidupan.,
Raden ajeng Kartini,Mardanas Safwan,Mutiara Sumber Widya,2010,978979933117x,Biografi,Buku ini memaparkan biografi R.A Kartini dari masa kanak - kanak sampai saat terakhir perjuangan R.A Kartini dan kemajuan wanita Indonesia sesudah wafatnya R.A Kartini.,
